operation_index,time_ns,time_ms
351,30,0.000030
352,50,0.000050
353,30,0.000030
354,40,0.000040
355,40,0.000040
356,50,0.000050
357,180,0.000180
358,40,0.000040
359,40,0.000040
360,40,0.000040
361,40,0.000040
362,40,0.000040
363,30,0.000030
364,90,0.000090
365,40,0.000040
366,50,0.000050
367,120,0.000120
368,50,0.000050
369,30,0.000030
370,60,0.000060
371,30,0.000030
372,50,0.000050
373,40,0.000040
374,40,0.000040
375,50,0.000050
376,30,0.000030
377,30,0.000030
378,40,0.000040
379,40,0.000040
380,30,0.000030
381,40,0.000040
382,40,0.000040
383,30,0.000030
384,70,0.000070
385,30,0.000030
386,40,0.000040
387,50,0.000050
388,40,0.000040
389,40,0.000040
390,30,0.000030
391,90,0.000090
392,30,0.000030
393,30,0.000030
394,40,0.000040
395,30,0.000030
396,30,0.000030
397,40,0.000040
398,40,0.000040
399,30,0.000030
400,2670,0.002670
401,150,0.000150
402,120,0.000120
403,1610,0.001610
404,1730,0.001730
405,80,0.000080
406,70,0.000070
407,170,0.000170
408,60,0.000060
409,2250,0.002250
410,130,0.000130
411,40,0.000040
412,30,0.000030
413,30,0.000030
414,60,0.000060
415,40,0.000040
416,40,0.000040
417,110,0.000110
418,40,0.000040
419,40,0.000040
420,60,0.000060
421,1770,0.001770
422,40,0.000040
423,120,0.000120
424,60,0.000060
425,70,0.000070
426,80,0.000080
427,200,0.000200
428,130,0.000130
429,50,0.000050
430,30,0.000030
431,90,0.000090
432,80,0.000080
433,40,0.000040
434,80,0.000080
435,30,0.000030
436,40,0.000040
437,80,0.000080
438,60,0.000060
439,40,0.000040
440,40,0.000040
441,40,0.000040
442,40,0.000040
443,120,0.000120
444,40,0.000040
445,80,0.000080
446,50,0.000050
447,120,0.000120
448,30,0.000030
449,40,0.000040
450,40,0.000040
451,30,0.000030
452,50,0.000050
453,30,0.000030
454,40,0.000040
455,30,0.000030
456,130,0.000130
457,170,0.000170
458,30,0.000030
459,60,0.000060
460,40,0.000040
461,60,0.000060
462,50,0.000050
463,30,0.000030
464,100,0.000100
465,40,0.000040
466,40,0.000040
467,130,0.000130
468,40,0.000040
469,40,0.000040
470,60,0.000060
471,40,0.000040
472,40,0.000040
473,30,0.000030
474,40,0.000040
475,40,0.000040
476,30,0.000030
477,30,0.000030
478,40,0.000040
479,30,0.000030
480,30,0.000030
481,30,0.000030
482,40,0.000040
483,30,0.000030
484,60,0.000060
485,30,0.000030
486,40,0.000040
487,50,0.000050
488,40,0.000040
489,30,0.000030
490,40,0.000040
491,80,0.000080
492,50,0.000050
493,30,0.000030
494,40,0.000040
495,40,0.000040
496,30,0.000030
497,40,0.000040
498,40,0.000040
499,40,0.000040
500,2750,0.002750
501,130,0.000130
502,120,0.000120
503,1600,0.001600
504,1590,0.001590
505,80,0.000080
506,70,0.000070
507,150,0.000150
508,60,0.000060
509,2210,0.002210
510,130,0.000130
511,40,0.000040
512,30,0.000030
513,30,0.000030
514,60,0.000060
515,50,0.000050
516,50,0.000050
517,80,0.000080
518,40,0.000040
519,40,0.000040
520,60,0.000060
521,1580,0.001580
522,40,0.000040
523,60,0.000060
524,50,0.000050
525,70,0.000070
526,60,0.000060
527,110,0.000110
528,80,0.000080
529,60,0.000060
530,30,0.000030
531,90,0.000090
532,40,0.000040
533,40,0.000040
534,70,0.000070
535,40,0.000040
536,40,0.000040
537,110,0.000110
538,140,0.000140
539,30,0.000030
540,50,0.000050
541,30,0.000030
542,30,0.000030
543,50,0.000050
544,40,0.000040
545,90,0.000090
546,40,0.000040
547,140,0.000140
548,40,0.000040
549,30,0.000030
550,30,0.000030
551,30,0.000030
552,50,0.000050
553,40,0.000040
554,30,0.000030
555,40,0.000040
556,120,0.000120
557,190,0.000190
558,40,0.000040
559,50,0.000050
560,30,0.000030
561,50,0.000050
562,40,0.000040
563,30,0.000030
564,90,0.000090
565,40,0.000040
566,40,0.000040
567,60,0.000060
568,40,0.000040
569,30,0.000030
570,60,0.000060
571,30,0.000030
572,50,0.000050
573,30,0.000030
574,30,0.000030
575,40,0.000040
576,30,0.000030
577,30,0.000030
578,40,0.000040
579,130,0.000130
580,40,0.000040
581,30,0.000030
582,40,0.000040
583,40,0.000040
584,60,0.000060
585,30,0.000030
586,40,0.000040
587,30,0.000030
588,30,0.000030
589,40,0.000040
590,30,0.000030
591,90,0.000090
592,30,0.000030
593,30,0.000030
594,50,0.000050
595,30,0.000030
596,30,0.000030
597,50,0.000050
598,30,0.000030
599,30,0.000030
600,1770,0.001770
601,80,0.000080
602,120,0.000120
603,1280,0.001280
604,1450,0.001450
605,90,0.000090
606,60,0.000060
607,100,0.000100
608,60,0.000060
609,1660,0.001660
610,50,0.000050
611,30,0.000030
612,20,0.000020
613,30,0.000030
614,60,0.000060
615,50,0.000050
616,40,0.000040
617,90,0.000090
618,40,0.000040
619,30,0.000030
620,50,0.000050
621,1580,0.001580
622,40,0.000040
623,140,0.000140
624,60,0.000060
625,60,0.000060
626,70,0.000070
627,120,0.000120
628,40,0.000040
629,40,0.000040
630,30,0.000030
631,90,0.000090
632,40,0.000040
633,50,0.000050
634,70,0.000070
635,40,0.000040
636,40,0.000040
637,80,0.000080
638,120,0.000120
639,40,0.000040
640,40,0.000040
641,40,0.000040
642,40,0.000040
643,50,0.000050
644,40,0.000040
645,80,0.000080
646,50,0.000050
647,70,0.000070
648,40,0.000040
649,50,0.000050
650,40,0.000040
651,30,0.000030
652,50,0.000050
653,40,0.000040
654,30,0.000030
655,40,0.000040
656,40,0.000040
657,170,0.000170
658,40,0.000040
659,40,0.000040
660,40,0.000040
661,50,0.000050
662,40,0.000040
663,30,0.000030
664,100,0.000100
665,30,0.000030
666,130,0.000130
667,60,0.000060
668,30,0.000030
669,30,0.000030
670,70,0.000070
671,30,0.000030
672,40,0.000040
673,40,0.000040
674,40,0.000040
675,40,0.000040
676,30,0.000030
677,30,0.000030
678,60,0.000060
679,120,0.000120
680,30,0.000030
681,30,0.000030
682,30,0.000030
683,30,0.000030
684,70,0.000070
685,30,0.000030
686,40,0.000040
687,50,0.000050
688,40,0.000040
689,40,0.000040
690,30,0.000030
691,100,0.000100
692,30,0.000030
693,30,0.000030
694,40,0.000040
695,40,0.000040
696,30,0.000030
697,40,0.000040
698,30,0.000030
699,40,0.000040
700,2240,0.002240
701,150,0.000150
702,100,0.000100
703,1520,0.001520
704,1660,0.001660
705,90,0.000090
706,70,0.000070
707,170,0.000170
708,60,0.000060
709,2271,0.002271
710,50,0.000050
711,40,0.000040
712,30,0.000030
713,30,0.000030
714,60,0.000060
715,50,0.000050
716,30,0.000030
717,110,0.000110
718,40,0.000040
719,30,0.000030
720,60,0.000060
721,1680,0.001680
722,50,0.000050
723,130,0.000130
724,50,0.000050
725,50,0.000050
726,70,0.000070
727,200,0.000200
728,50,0.000050
729,50,0.000050
730,40,0.000040
731,90,0.000090
732,50,0.000050
733,30,0.000030
734,70,0.000070
735,40,0.000040
736,40,0.000040
737,160,0.000160
738,130,0.000130
739,40,0.000040
740,40,0.000040
741,40,0.000040
742,50,0.000050
743,130,0.000130
744,40,0.000040
745,80,0.000080
746,40,0.000040
747,140,0.000140
748,40,0.000040
749,40,0.000040
750,30,0.000030
751,40,0.000040
752,50,0.000050
753,40,0.000040
754,30,0.000030
755,50,0.000050
756,130,0.000130
757,160,0.000160
