operation_index,time_ns,time_ms
350,60,0.000060
351,30,0.000030
352,50,0.000050
353,40,0.000040
354,30,0.000030
355,40,0.000040
356,40,0.000040
357,2160,0.002160
358,50,0.000050
359,50,0.000050
360,30,0.000030
361,40,0.000040
362,30,0.000030
363,30,0.000030
364,2760,0.002760
365,40,0.000040
366,30,0.000030
367,150,0.000150
368,30,0.000030
369,40,0.000040
370,100,0.000100
371,30,0.000030
372,20,0.000020
373,30,0.000030
374,40,0.000040
375,30,0.000030
376,30,0.000030
377,30,0.000030
378,40,0.000040
379,30,0.000030
380,20,0.000020
381,30,0.000030
382,30,0.000030
383,40,0.000040
384,40,0.000040
385,30,0.000030
386,30,0.000030
387,40,0.000040
388,30,0.000030
389,50,0.000050
390,30,0.000030
391,60,0.000060
392,30,0.000030
393,30,0.000030
394,30,0.000030
395,30,0.000030
396,20,0.000020
397,30,0.000030
398,30,0.000030
399,30,0.000030
400,1450,0.001450
401,70,0.000070
402,50,0.000050
403,1070,0.001070
404,1690,0.001690
405,4750,0.004750
406,70,0.000070
407,90,0.000090
408,60,0.000060
409,3720,0.003720
410,70,0.000070
411,30,0.000030
412,40,0.000040
413,30,0.000030
414,50,0.000050
415,40,0.000040
416,30,0.000030
417,140,0.000140
418,30,0.000030
419,30,0.000030
420,30,0.000030
421,2950,0.002950
422,30,0.000030
423,60,0.000060
424,50,0.000050
425,140,0.000140
426,90,0.000090
427,220,0.000220
428,70,0.000070
429,50,0.000050
430,30,0.000030
431,750,0.000750
432,30,0.000030
433,30,0.000030
434,90,0.000090
435,30,0.000030
436,40,0.000040
437,100,0.000100
438,20,0.000020
439,30,0.000030
440,50,0.000050
441,40,0.000040
442,40,0.000040
443,40,0.000040
444,40,0.000040
445,230,0.000230
446,40,0.000040
447,60,0.000060
448,30,0.000030
449,50,0.000050
450,40,0.000040
451,30,0.000030
452,50,0.000050
453,40,0.000040
454,40,0.000040
455,30,0.000030
456,40,0.000040
457,2160,0.002160
458,50,0.000050
459,40,0.000040
460,30,0.000030
461,40,0.000040
462,30,0.000030
463,30,0.000030
464,2830,0.002830
465,40,0.000040
466,40,0.000040
467,80,0.000080
468,40,0.000040
469,30,0.000030
470,110,0.000110
471,30,0.000030
472,30,0.000030
473,30,0.000030
474,40,0.000040
475,30,0.000030
476,30,0.000030
477,30,0.000030
478,20,0.000020
479,40,0.000040
480,30,0.000030
481,20,0.000020
482,20,0.000020
483,40,0.000040
484,40,0.000040
485,30,0.000030
486,30,0.000030
487,40,0.000040
488,30,0.000030
489,30,0.000030
490,30,0.000030
491,70,0.000070
492,30,0.000030
493,30,0.000030
494,30,0.000030
495,30,0.000030
496,20,0.000020
497,30,0.000030
498,30,0.000030
499,30,0.000030
500,1630,0.001630
501,70,0.000070
502,120,0.000120
503,1200,0.001200
504,1870,0.001870
505,5080,0.005080
506,70,0.000070
507,80,0.000080
508,60,0.000060
509,4630,0.004630
510,60,0.000060
511,40,0.000040
512,30,0.000030
513,30,0.000030
514,60,0.000060
515,40,0.000040
516,30,0.000030
517,200,0.000200
518,40,0.000040
519,30,0.000030
520,50,0.000050
521,2560,0.002560
522,40,0.000040
523,40,0.000040
524,50,0.000050
525,110,0.000110
526,70,0.000070
527,391,0.000391
528,60,0.000060
529,50,0.000050
530,40,0.000040
531,600,0.000600
532,60,0.000060
533,40,0.000040
534,90,0.000090
535,40,0.000040
536,30,0.000030
537,110,0.000110
538,130,0.000130
539,30,0.000030
540,40,0.000040
541,40,0.000040
542,50,0.000050
543,40,0.000040
544,40,0.000040
545,250,0.000250
546,50,0.000050
547,60,0.000060
548,30,0.000030
549,50,0.000050
550,30,0.000030
551,30,0.000030
552,50,0.000050
553,40,0.000040
554,40,0.000040
555,30,0.000030
556,50,0.000050
557,2290,0.002290
558,60,0.000060
559,50,0.000050
560,40,0.000040
561,40,0.000040
562,30,0.000030
563,30,0.000030
564,2520,0.002520
565,40,0.000040
566,120,0.000120
567,80,0.000080
568,30,0.000030
569,30,0.000030
570,90,0.000090
571,40,0.000040
572,30,0.000030
573,30,0.000030
574,30,0.000030
575,30,0.000030
576,30,0.000030
577,30,0.000030
578,30,0.000030
579,30,0.000030
580,30,0.000030
581,30,0.000030
582,30,0.000030
583,30,0.000030
584,40,0.000040
585,50,0.000050
586,20,0.000020
587,40,0.000040
588,30,0.000030
589,40,0.000040
590,20,0.000020
591,60,0.000060
592,30,0.000030
593,30,0.000030
594,30,0.000030
595,30,0.000030
596,20,0.000020
597,30,0.000030
598,30,0.000030
599,30,0.000030
600,1080,0.001080
601,70,0.000070
602,30,0.000030
603,870,0.000870
604,1610,0.001610
605,4240,0.004240
606,70,0.000070
607,90,0.000090
608,60,0.000060
609,3380,0.003380
610,60,0.000060
611,40,0.000040
612,40,0.000040
613,30,0.000030
614,60,0.000060
615,40,0.000040
616,40,0.000040
617,140,0.000140
618,30,0.000030
619,50,0.000050
620,30,0.000030
621,2880,0.002880
622,30,0.000030
623,40,0.000040
624,50,0.000050
625,110,0.000110
626,100,0.000100
627,230,0.000230
628,50,0.000050
629,60,0.000060
630,40,0.000040
631,600,0.000600
632,50,0.000050
633,40,0.000040
634,100,0.000100
635,40,0.000040
636,30,0.000030
637,110,0.000110
638,30,0.000030
639,40,0.000040
640,40,0.000040
641,40,0.000040
642,40,0.000040
643,40,0.000040
644,50,0.000050
645,180,0.000180
646,30,0.000030
647,50,0.000050
648,40,0.000040
649,40,0.000040
650,30,0.000030
651,30,0.000030
652,40,0.000040
653,30,0.000030
654,40,0.000040
655,30,0.000030
656,40,0.000040
657,1910,0.001910
658,50,0.000050
659,40,0.000040
660,50,0.000050
661,30,0.000030
662,30,0.000030
663,30,0.000030
664,2140,0.002140
665,40,0.000040
666,30,0.000030
667,80,0.000080
668,40,0.000040
669,40,0.000040
670,100,0.000100
671,40,0.000040
672,40,0.000040
673,30,0.000030
674,40,0.000040
675,20,0.000020
676,30,0.000030
677,40,0.000040
678,30,0.000030
679,30,0.000030
680,30,0.000030
681,30,0.000030
682,20,0.000020
683,40,0.000040
684,40,0.000040
685,30,0.000030
686,30,0.000030
687,40,0.000040
688,30,0.000030
689,30,0.000030
690,30,0.000030
691,70,0.000070
692,30,0.000030
693,30,0.000030
694,20,0.000020
695,20,0.000020
696,30,0.000030
697,30,0.000030
698,30,0.000030
699,30,0.000030
700,2560,0.002560
701,500,0.000500
702,110,0.000110
703,1360,0.001360
704,2590,0.002590
705,6280,0.006280
706,70,0.000070
707,160,0.000160
708,60,0.000060
709,5050,0.005050
710,140,0.000140
711,40,0.000040
712,40,0.000040
713,30,0.000030
714,90,0.000090
715,40,0.000040
716,30,0.000030
717,200,0.000200
718,40,0.000040
719,30,0.000030
720,40,0.000040
721,3450,0.003450
722,40,0.000040
723,130,0.000130
724,50,0.000050
725,110,0.000110
726,70,0.000070
727,330,0.000330
728,130,0.000130
729,50,0.000050
730,40,0.000040
731,1340,0.001340
732,40,0.000040
733,30,0.000030
734,100,0.000100
735,40,0.000040
736,30,0.000030
737,170,0.000170
738,110,0.000110
739,40,0.000040
740,60,0.000060
741,30,0.000030
742,40,0.000040
743,110,0.000110
744,40,0.000040
745,280,0.000280
746,40,0.000040
747,50,0.000050
748,30,0.000030
749,50,0.000050
750,30,0.000030
751,30,0.000030
752,40,0.000040
753,30,0.000030
754,50,0.000050
755,30,0.000030
756,120,0.000120
757,2480,0.002480
758,60,0.000060
759,50,0.000050
760,30,0.000030
761,40,0.000040
762,40,0.000040
763,30,0.000030
764,3520,0.003520
765,40,0.000040
766,110,0.000110
767,120,0.000120
768,40,0.000040
769,30,0.000030
770,110,0.000110
771,30,0.000030
772,30,0.000030
773,30,0.000030
774,30,0.000030
775,30,0.000030
776,40,0.000040
777,30,0.000030
778,40,0.000040
779,100,0.000100
780,30,0.000030
781,30,0.000030
782,30,0.000030
783,40,0.000040
784,40,0.000040
785,30,0.000030
786,30,0.000030
787,50,0.000050
788,30,0.000030
789,30,0.000030
790,30,0.000030
791,70,0.000070
792,30,0.000030
793,30,0.000030
794,30,0.000030
795,30,0.000030
796,30,0.000030
797,20,0.000020
798,30,0.000030
799,30,0.000030
800,1460,0.001460
801,80,0.000080
802,40,0.000040
803,930,0.000930
804,1420,0.001420
805,3970,0.003970
806,60,0.000060
807,90,0.000090
808,40,0.000040
809,3430,0.003430
810,60,0.000060
811,40,0.000040
812,40,0.000040
813,30,0.000030
814,70,0.000070
815,40,0.000040
816,50,0.000050
817,130,0.000130
818,40,0.000040
819,30,0.000030
820,50,0.000050
821,2531,0.002531
822,40,0.000040
823,120,0.000120
824,50,0.000050
825,140,0.000140
826,100,0.000100
827,230,0.000230
828,60,0.000060
829,60,0.000060
830,40,0.000040
