operation_index,time_ns,time_ms
341,3970,0.003970
342,220,0.000220
343,1370,0.001370
344,1260,0.001260
345,250,0.000250
346,1840,0.001840
347,1290,0.001290
348,1421,0.001421
349,200,0.000200
350,210,0.000210
351,1270,0.001270
352,500,0.000500
353,1300,0.001300
354,480,0.000480
355,990,0.000990
356,230,0.000230
357,470,0.000470
358,200,0.000200
359,1490,0.001490
360,770,0.000770
361,180,0.000180
362,160,0.000160
363,480,0.000480
364,170,0.000170
365,1240,0.001240
366,960,0.000960
367,360,0.000360
368,160,0.000160
369,260,0.000260
370,140,0.000140
371,200,0.000200
372,390,0.000390
373,160,0.000160
374,180,0.000180
375,870,0.000870
376,1110,0.001110
377,190,0.000190
378,390,0.000390
379,150,0.000150
380,250,0.000250
381,790,0.000790
382,1250,0.001250
383,470,0.000470
384,430,0.000430
385,190,0.000190
386,1320,0.001320
387,160,0.000160
388,160,0.000160
389,390,0.000390
390,360,0.000360
391,160,0.000160
392,190,0.000190
393,140,0.000140
394,140,0.000140
395,140,0.000140
396,1490,0.001490
397,1160,0.001160
398,1190,0.001190
399,1070,0.001070
400,10690,0.010690
401,2750,0.002750
402,190,0.000190
403,1380,0.001380
404,4170,0.004170
405,5780,0.005780
406,1170,0.001170
407,1770,0.001770
408,190,0.000190
409,210,0.000210
410,160,0.000160
411,220,0.000220
412,150,0.000150
413,660,0.000660
414,2210,0.002210
415,180,0.000180
416,460,0.000460
417,1120,0.001120
418,160,0.000160
419,900,0.000900
420,160,0.000160
421,150,0.000150
422,740,0.000740
423,200,0.000200
424,380,0.000380
425,220,0.000220
426,180,0.000180
427,160,0.000160
428,230,0.000230
429,390,0.000390
430,340,0.000340
431,190,0.000190
432,330,0.000330
433,160,0.000160
434,180,0.000180
435,1060,0.001060
436,940,0.000940
437,430,0.000430
438,1100,0.001100
439,160,0.000160
440,890,0.000890
441,2170,0.002170
442,180,0.000180
443,450,0.000450
444,960,0.000960
445,240,0.000240
446,5050,0.005050
447,1250,0.001250
448,1350,0.001350
449,220,0.000220
450,270,0.000270
451,1240,0.001240
452,440,0.000440
453,760,0.000760
454,430,0.000430
455,1080,0.001080
456,170,0.000170
457,380,0.000380
458,190,0.000190
459,1200,0.001200
460,690,0.000690
461,170,0.000170
462,150,0.000150
463,440,0.000440
464,170,0.000170
465,1070,0.001070
466,880,0.000880
467,320,0.000320
468,150,0.000150
469,260,0.000260
470,130,0.000130
471,180,0.000180
472,360,0.000360
473,160,0.000160
474,150,0.000150
475,850,0.000850
476,920,0.000920
477,180,0.000180
478,360,0.000360
479,140,0.000140
480,240,0.000240
481,720,0.000720
482,1130,0.001130
483,350,0.000350
484,350,0.000350
485,210,0.000210
486,1020,0.001020
487,160,0.000160
488,150,0.000150
489,360,0.000360
490,340,0.000340
491,140,0.000140
492,190,0.000190
493,150,0.000150
494,130,0.000130
495,140,0.000140
496,1270,0.001270
497,940,0.000940
498,1000,0.001000
499,1000,0.001000
500,6740,0.006740
501,2610,0.002610
502,160,0.000160
503,1480,0.001480
504,17881,0.017881
505,5790,0.005790
506,1060,0.001060
507,1890,0.001890
508,170,0.000170
509,200,0.000200
510,130,0.000130
511,210,0.000210
512,220,0.000220
513,620,0.000620
514,1940,0.001940
515,170,0.000170
516,470,0.000470
517,1120,0.001120
518,150,0.000150
519,930,0.000930
520,150,0.000150
521,140,0.000140
522,760,0.000760
523,240,0.000240
524,340,0.000340
525,210,0.000210
526,190,0.000190
527,140,0.000140
528,220,0.000220
529,320,0.000320
530,310,0.000310
531,160,0.000160
532,310,0.000310
533,240,0.000240
534,160,0.000160
535,1070,0.001070
536,890,0.000890
537,440,0.000440
538,1090,0.001090
539,160,0.000160
540,880,0.000880
541,2060,0.002060
542,180,0.000180
543,360,0.000360
544,940,0.000940
545,230,0.000230
546,1600,0.001600
547,1200,0.001200
548,1260,0.001260
549,200,0.000200
550,300,0.000300
551,1170,0.001170
552,400,0.000400
553,760,0.000760
554,410,0.000410
555,910,0.000910
556,170,0.000170
557,320,0.000320
558,170,0.000170
559,1120,0.001120
560,640,0.000640
561,170,0.000170
562,160,0.000160
563,420,0.000420
564,170,0.000170
565,970,0.000970
566,800,0.000800
567,300,0.000300
568,160,0.000160
569,260,0.000260
570,150,0.000150
571,180,0.000180
572,330,0.000330
573,170,0.000170
574,160,0.000160
575,790,0.000790
576,940,0.000940
577,170,0.000170
578,340,0.000340
579,160,0.000160
580,260,0.000260
581,710,0.000710
582,1130,0.001130
583,330,0.000330
584,310,0.000310
585,180,0.000180
586,1000,0.001000
587,140,0.000140
588,160,0.000160
589,320,0.000320
590,291,0.000291
591,140,0.000140
592,170,0.000170
593,150,0.000150
594,140,0.000140
595,140,0.000140
596,1230,0.001230
597,920,0.000920
598,930,0.000930
599,960,0.000960
600,6820,0.006820
601,1580,0.001580
602,180,0.000180
603,1480,0.001480
604,4480,0.004480
605,5900,0.005900
606,1070,0.001070
607,16550,0.016550
608,250,0.000250
609,250,0.000250
610,150,0.000150
611,230,0.000230
612,200,0.000200
613,650,0.000650
614,1960,0.001960
615,170,0.000170
616,500,0.000500
617,1160,0.001160
618,160,0.000160
